observation_date,Unrate_log
11/1/81,0.919078092
12/1/81,0.929418926
1/1/82,0.934498451
2/1/82,0.949390007
3/1/82,0.954242509
4/1/82,0.968482949
5/1/82,0.973127854
6/1/82,0.982271233
7/1/82,0.991226076
8/1/82,0.991226076
9/1/82,1.004321374
10/1/82,1.017033339
11/1/82,1.033423755
12/1/82,1.033423755
1/1/83,1.017033339
2/1/83,1.017033339
3/1/83,1.012837225
4/1/83,1.008600172
5/1/83,1.004321374
6/1/83,1.004321374
7/1/83,0.973127854
8/1/83,0.977723605
9/1/83,0.963787827
10/1/83,0.944482672
11/1/83,0.929418926
12/1/83,0.919078092
1/1/84,0.903089987
2/1/84,0.892094603
3/1/84,0.892094603
4/1/84,0.886490725
5/1/84,0.86923172
6/1/84,0.857332496
7/1/84,0.875061263
8/1/84,0.875061263
9/1/84,0.86332286
10/1/84,0.86923172
11/1/84,0.857332496
12/1/84,0.86332286
1/1/85,0.86332286
2/1/85,0.857332496
3/1/85,0.857332496
4/1/85,0.86332286
5/1/85,0.857332496
6/1/85,0.86923172
7/1/85,0.86923172
8/1/85,0.851258349
9/1/85,0.851258349
10/1/85,0.851258349
11/1/85,0.84509804
12/1/85,0.84509804
1/1/86,0.826074803
2/1/86,0.857332496
3/1/86,0.857332496
4/1/86,0.851258349
5/1/86,0.857332496
6/1/86,0.857332496
7/1/86,0.84509804
8/1/86,0.838849091
9/1/86,0.84509804
10/1/86,0.84509804
11/1/86,0.838849091
12/1/86,0.819543936
1/1/87,0.819543936
2/1/87,0.819543936
3/1/87,0.819543936
4/1/87,0.799340549
5/1/87,0.799340549
6/1/87,0.792391689
7/1/87,0.785329835
8/1/87,0.77815125
9/1/87,0.770852012
10/1/87,0.77815125
11/1/87,0.763427994
12/1/87,0.755874856
1/1/88,0.755874856
2/1/88,0.755874856
3/1/88,0.755874856
4/1/88,0.73239376
5/1/88,0.748188027
6/1/88,0.73239376
7/1/88,0.73239376
8/1/88,0.748188027
9/1/88,0.73239376
10/1/88,0.73239376
11/1/88,0.72427587
12/1/88,0.72427587
1/1/89,0.73239376
2/1/89,0.716003344
3/1/89,0.698970004
4/1/89,0.716003344
5/1/89,0.716003344
6/1/89,0.72427587
7/1/89,0.716003344
8/1/89,0.716003344
9/1/89,0.72427587
10/1/89,0.72427587
11/1/89,0.73239376
12/1/89,0.73239376
1/1/90,0.73239376
2/1/90,0.72427587
3/1/90,0.716003344
4/1/90,0.73239376
5/1/90,0.73239376
6/1/90,0.716003344
7/1/90,0.740362689
8/1/90,0.755874856
9/1/90,0.770852012
10/1/90,0.770852012
11/1/90,0.792391689
12/1/90,0.799340549
1/1/91,0.806179974
2/1/91,0.819543936
3/1/91,0.832508913
4/1/91,0.826074803
5/1/91,0.838849091
6/1/91,0.838849091
7/1/91,0.832508913
8/1/91,0.838849091
9/1/91,0.838849091
10/1/91,0.84509804
11/1/91,0.84509804
12/1/91,0.86332286
1/1/92,0.86332286
2/1/92,0.86923172
3/1/92,0.86923172
4/1/92,0.86923172
5/1/92,0.880813592
6/1/92,0.892094603
7/1/92,0.886490725
8/1/92,0.880813592
9/1/92,0.880813592
10/1/92,0.86332286
11/1/92,0.86923172
12/1/92,0.86923172
