Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
64,56476,6941,73876,33934,367828,55220,40377,11247,6093,239608,102159,16711,17396,133618,70631,33941,30030,50945,48841,18703,64251,75167,115001,56652,32412,67512,12840,19220,31388,17029,95283,24497,212748,111868,7133,135041,40981,48419,151806,11815,58754,9013,76199,239422,22049,8398,90084,78062,25461,63527,6641
65,58471,6849,79172,36068,376139,57606,43172,12022,5983,259511,105149,16482,18209,138208,73912,35394,31382,53306,51025,19467,66539,79050,119863,58579,33974,70804,13392,19784,33339,17854,100681,24912,219429,117428,7293,141504,43339,51144,160424,12635,62451,9112,79936,246077,22694,8711,93723,81455,26373,65489,6818
66,43221,5046,59497,26664,290477,41345,31910,8810,4514,199365,77672,13462,13420,101841,53076,25476,22279,38334,37330,13608,48613,57136,86670,42254,24878,51711,9723,14228,24856,12361,75419,18987,165472,87023,5462,98727,32365,36655,113130,9269,46178,6655,58231,185969,16696,6236,68784,59448,18659,47785,4862
67,43334,4931,59778,27248,285593,40073,31005,8751,4472,199300,76427,13518,13364,99131,53099,25189,22254,38078,37387,13452,47969,56147,85357,42005,24851,52057,9655,14261,24568,11958,72805,18762,162174,85747,5488,95442,32896,36384,110686,9069,46009,6592,58419,184278,16669,6261,67658,58836,18720,47029,4836
68,42482,4636,59200,26898,269851,38455,30612,8673,4374,198632,73953,12981,13262,97570,51788,24918,22128,37185,36200,13624,46116,54521,84862,41367,24403,51858,9589,14161,24182,11803,70473,18108,155066,83297,5388,94331,32450,35735,111049,8650,44923,6579,57122,178369,16958,6019,65902,57246,18146,46110,4699
69,43895,4417,61420,27218,268086,38412,32186,9061,4263,209716,74968,11693,13608,101563,53949,25598,22243,38102,36433,13907,47309,56251,88777,42795,24685,53469,9772,14190,24584,12257,74603,18177,160669,85476,5348,100676,32228,36117,117861,9106,45882,6758,58377,175131,16871,6247,67358,56962,18948,48002,4768
70,37983,3791,54245,24292,236586,33089,26979,7907,3872,185231,64379,10506,11828,89401,47309,22682,19351,33573,32234,11949,41258,47928,77596,37115,21697,47056,8426,12475,21338,10438,64526,15986,140636,74087,4636,89395,28740,31021,102176,7736,39822,5814,50963,153363,14548,5131,58113,48651,16783,41867,4103
71,35075,3413,50035,22657,218236,29995,23725,7137,3421,171389,58943,9639,10849,80585,43343,21392,18062,31398,29972,10603,36955,42965,69334,34339,20427,43602,7965,11462,19377,9187,57177,14847,128181,67776,4266,81391,26762,28357,93035,6925,36791,5368,46756,143377,13467,4826,52969,43806,15628,37876,3712
72,33866,3060,47507,21776,210219,28030,22431,6600,3308,164986,55630,9315,10226,76206,40525,20473,17103,29642,28635,10001,34565,40369,64670,32397,19720,40703,7349,11091,18546,8563,54586,14086,123775,63394,4100,76636,25684,26655,87369,6551,34102,5198,44567,134395,12695,4358,50081,40824,14675,35699,3574
73,31957,2627,44760,20014,196646,26316,21182,6331,3059,157542,51394,8352,9691,72876,38767,19671,16344,28258,26731,9456,32403,38336,61547,30835,18680,38768,6899,10646,17025,7900,51666,13423,116498,59149,4059,73550,24221,24684,84253,6104,31236,4992,41489,124883,11904,4077,46555,38179,14236,34668,3362
74,30881,2528,42647,19260,188307,24823,20416,6100,2899,152283,48119,7929,8933,70366,37327,19097,15842,26891,25636,9204,30912,37106,58704,29246,18008,36911,6511,10442,15979,7523,50231,12687,113054,56715,3962,71668,22990,23175,82207,5970,29596,4763,39357,119556,11476,3914,44435,36538,13759,33504,3160
75,28100,2221,39204,17428,175266,22803,18978,5426,2718,142318,43780,7354,8232,64657,33995,18093,14823,23894,23323,8618,28192,34962,53900,27439,16307,34117,6165,10013,14488,7093,46858,11739,105064,52174,3834,66354,21040,21511,76778,5637,27082,4593,35787,110578,10681,3501,40765,33303,12727,31405,2925
76,27226,2077,37024,17000,166788,21457,18292,5179,2544,135877,41837,7000,7696,62586,32542,17724,14339,22997,22342,8227,26857,33611,52518,26336,15620,32999,5713,9516,13459,6798,44958,11178,100722,50706,3725,63198,20406,20177,74326,5425,25957,4623,34905,105860,10270,3377,38487,31180,11960,30260,2744
77,25923,1942,35134,16524,160988,20463,17949,5053,2418,130343,39811,6921,7427,59694,31331,16983,13928,21990,21536,7949,25837,32748,50400,25101,14931,31957,5356,9341,12567,6604,43140,10744,97538,48617,3656,61248,20063,19045,72376,5220,24795,4311,32843,102673,9926,3275,36835,29863,11531,28761,2617
78,23308,1718,31153,14700,146391,18662,16567,4477,2235,117199,35153,6429,6578,53690,28016,15268,12910,19946,19326,7321,23387,30001,44898,23024,12977,29258,4868,8543,11214,5947,39832,9476,88695,42882,3406,54608,18062,17208,65673,4890,21976,3962,29258,92123,8865,3033,33065,27045,10004,26004,2397
79,21842,1603,30149,14015,141800,17848,16360,4315,2170,114344,33635,6444,6330,52640,27752,15270,12731,18974,18580,7058,23090,29932,43816,22700,12504,28307,4645,8379,10601,5967,39301,8982,86817,41189,3366,53372,17219,16688,65073,4929,20745,3960,27980,87013,8423,2953,32142,26024,9623,25801,2150
80,20739,1472,28521,13073,135335,17145,15932,4202,2060,110152,31439,6427,6078,50267,26421,15008,12304,17844,17787,6891,22033,29308,42546,21990,11831,26918,4458,8367,9604,5703,38483,8692,83581,38805,3320,51938,16015,16135,64855,4665,19220,3937,26597,82485,8009,2786,30296,24805,9202,25005,2186
81,19506,1365,27095,12267,130415,16387,15692,3955,1865,105451,28890,6181,5573,49353,25254,14316,11810,16723,16709,6493,20929,28300,41632,21081,11292,25419,4325,8107,8968,5417,37370,8150,81318,35601,3171,50347,14996,15422,63717,4761,17666,3718,24597,77717,7715,2675,28571,23945,8812,24543,2055
82,18451,1335,26049,11641,126962,15301,15361,3653,1955,100903,27274,6124,5289,47917,24424,13906,11619,16220,15971,6200,20053,27340,40462,20212,10568,24113,4162,7571,8492,5099,36504,7824,79726,34386,3082,48530,14391,14795,61587,4696,16526,3636,23419,74531,7272,2594,27435,22869,8705,23966,1973
83,16292,1197,22792,10247,113200,14090,14410,3291,1866,92045,24349,5714,4773,43735,22611,12916,10617,14403,14520,5701,18313,25731,36878,18778,9618,22090,3864,7170,7340,4630,33208,6908,72897,31416,2914,44690,12646,13450,56614,4411,14824,3370,20906,66060,6553,2393,24380,20862,7842,21937,1849
84,15311,1049,20787,9526,106097,13176,13953,3005,1638,85933,22640,5474,4431,41190,21290,12555,10159,13445,13430,5421,17488,24575,35216,18047,8860,20747,3610,6784,6632,4527,31626,6287,69421,29011,2754,42592,11798,12994,55077,4508,13860,3134,19510,60486,5984,2283,22729,19700,7388,20782,1754
85,80192,5161,113832,53770,648913,75657,88701,16821,11031,475777,123337,34243,26175,249107,122085,77534,61763,73399,71023,30874,105679,153200,203547,112401,47470,120398,20950,40808,33818,26915,190672,34620,417215,160273,17540,243527,65460,81159,323144,27931,76023,19820,106048,334867,32988,13478,131807,123014,38062,123787,9242
